"order_timestamp","user_id","order_number","total_item_amount","total_shipping_fee","total_point_spent"
"2019-06-10 20:51:33.565",6111,"66539476106518594",11900,2000,4000
"2019-06-10 20:52:39.171",3256,"17195576106510743",26800,2500,2000
"2019-06-10 20:55:01.796",6930,"79710776106514676",22800,2500,3000
"2019-06-10 20:55:53.293",3902,"49235776106518910",29800,2500,4000
"2019-06-10 20:58:42.901",90,"20922976106516920",11900,2500,4000
"2019-06-10 21:04:45.189",90,"09158286106511540",14400,2500,0
"2019-06-10 21:05:16.316",3556,"71361386106514443",7500,2500,4000
"2019-06-10 21:10:04.469",5682,"07440686106510609",40160,2000,4000
"2019-06-10 21:10:37.002",8092,"30073686106518065",18000,2500,3000
"2019-06-10 21:10:47.256",7735,"85274686106517765",28700,2500,3000
"2019-06-10 21:12:55.63",8414,"93657786106516891",23900,2000,4000
"2019-06-10 21:12:57.91",5496,"11977786106518615",27400,2500,3000
"2019-06-10 21:20:50.653",167,"45605296106519041",53000,2500,2000
"2019-06-10 21:27:16.934",10283,"73963696106511174",1500,2500,4000
"2019-06-10 21:28:11.305",7935,"80319696106518033",9000,2500,2000
"2019-06-10 21:28:21.26",8373,"46210796106514214",35500,2500,3000
"2019-06-10 21:29:23.013",9137,"41036796106511246",6500,2500,4000
"2019-06-10 21:30:30.916",9916,"52903896106516349",23900,4500,1000
"2019-06-10 21:31:49.095",10119,"99090996106514178",11500,2500,4000
"2019-06-10 21:32:32.029",1315,"03025996106519902",35800,2500,3000
"2019-06-10 21:33:21.695",6043,"89610007106519644",10000,2500,1000
"2019-06-10 21:35:47.591",7623,"29574107106512696",21000,2500,2000
"2019-06-10 21:37:42.784",178,"58726207106518781",15000,2500,4000
"2019-06-10 21:38:23.291",1647,"29230307106516264",19900,2000,3000
"2019-06-10 21:38:43.735",2121,"63732307106510130",13000,2500,2000
"2019-06-10 21:39:19.516",6130,"91595307106514631",6500,2500,4000
"2019-06-10 21:39:49.388",10598,"19398307106515277",45700,0,1000
"2019-06-10 21:51:01.723",4723,"42716017106518943",1500,2500,4000
"2019-06-10 21:52:56.954",2906,"75967117106512950",32500,7500,4000
"2019-06-10 21:56:24.519",447,"22548317106519152",13500,2500,2000
"2019-06-10 21:58:07.874",3911,"97878417106516500",55800,2500,1000
"2019-06-10 22:01:58.637",3220,"14681717106513635",8500,2500,4000
"2019-06-10 22:03:23.227",4982,"82230817106513935",5800,2500,4000
"2019-06-10 22:03:47.715",589,"61772817106511429",17000,2500,0
"2019-06-10 22:07:13.419",8289,"02433027106516086",40600,7500,0
"2019-06-10 22:08:11.411",3149,"31419027106519105",21900,2500,1000
"2019-06-10 22:08:19.443",5276,"44499027106512041",42600,2000,0
"2019-06-10 22:08:52.288",11060,"00323127106518835",19500,2500,3000
"2019-06-10 22:09:04.784",7484,"58744127106519134",18500,2500,2000
"2019-06-10 22:12:06.736",8289,"83762327106511527",40600,7500,3000
"2019-06-10 22:12:55.722",9033,"32757327106513071",58000,2500,2000
"2019-06-10 22:19:51.797",259,"89719727106515658",6500,2500,4000
"2019-06-10 22:23:41.103",2457,"50112037106510330",52800,7500,2000
"2019-06-10 22:28:25.163",7116,"46150337106515088",27000,2500,3000
"2019-06-10 22:28:52.197",6228,"89123337106513699",17010,2000,3000
"2019-06-10 22:32:23.772",11332,"37734537106516430",10900,2500,4000
"2019-06-10 22:40:12.56",677,"26521047106518022",27900,2000,4000
"2019-06-10 22:40:33.562",12434,"36533047106516644",22400,5000,4000
"2019-06-10 22:44:19.841",7388,"24895247106514239",22900,2000,3000
"2019-06-10 22:48:01.851",4302,"25818447106517172",76000,0,3000
"2019-06-10 22:53:52.857",10961,"06823847106518980",25500,2500,2000
"2019-06-10 22:56:47.013",10978,"41070057106514418",27000,2500,4000
"2019-06-10 23:04:38.912",5922,"51987457106514621",68500,5000,1000
"2019-06-10 23:07:45.613",7871,"41656657106518462",21400,2500,3000
"2019-06-10 23:10:07.876",6383,"77870857106510255",33500,2500,3000
"2019-06-10 23:10:36.817",958,"81863857106512451",57300,7500,1000
"2019-06-10 23:11:25.126",9217,"72158857106512374",8500,2500,4000
"2019-06-10 23:13:38.52",11356,"32581067106515675",24900,2500,3000
"2019-06-10 23:14:52.715",5276,"61729067106519810",21800,2500,4000
"2019-06-10 23:14:55.073",11357,"47059067106510077",11500,2500,1000
"2019-06-10 23:17:06.475",7357,"67462267106515322",7500,2500,4000
"2019-06-10 23:17:26.827",8714,"82864267106514695",12000,2500,4000
"2019-06-10 23:17:38.769",2583,"07785267106511951",12000,2500,4000
